127.0.0.1 - - [06/Sep/2024:20:15:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:15:31 +0530] "GET /EasyBusApp/WEB-INF/classes/com/manager/userDBUtil.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:15:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:16:05 +0530] "GET /EasyBusApp/WEB-INF/classes/com/manager/userDBUtil.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:22:56 +0530] "GET /EasyBusApp/WEB-INF/web.xml HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:23:18 +0530] "GET /EasyBusApp/home.jsp HTTP/1.1" 200 13143
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:23:18 +0530] "GET /EasyBusApp/home.css HTTP/1.1" 200 5280
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:23:18 +0530] "GET /EasyBusApp/IMAGES/logo-modified.png HTTP/1.1" 200 39314
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:23:18 +0530] "GET /EasyBusApp/IMAGES/bus8.jpg HTTP/1.1" 200 38035
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:23:18 +0530] "GET /EasyBusApp/css/bootstrap.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:23:18 +0530] "GET /EasyBusApp/js/bootstrap.js HTTP/1.1" 200 115048
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:23:18 +0530] "GET /EasyBusApp/IMAGES/bus10.jpg HTTP/1.1" 200 130736
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:23:18 +0530] "GET /EasyBusApp/IMAGES/67.png HTTP/1.1" 200 14596
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:23:18 +0530] "GET /EasyBusApp/IMAGES/about.jpg HTTP/1.1" 200 41354
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:23:18 +0530] "GET /EasyBusApp/IMAGES/12.png HTTP/1.1" 200 79561
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:23:19 +0530] "GET /EasyBusApp/IMAGES/13.png HTTP/1.1" 200 71504
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:23:19 +0530] "GET /EasyBusApp/IMAGES/17.png HTTP/1.1" 200 81916
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:23:19 +0530] "GET /EasyBusApp/IMAGES/15.png HTTP/1.1" 200 81602
0:0:0:0:0:0:0:1 - - [06/Sep/2024:20:23:19 +0530] "GET /EasyBusApp/IMAGES/14.png HTTP/1.1" 200 79996
